,dc.keywords
3211,social media language
3212,twitter
3213,italian
3214,universal dependencies
3215,clic-it 2018
3216,computational linguistics
3217,linguistica computazionale
3218,natural language processing
3219,cognitive decline
3220,language
3221,mild cognitive impairment
3222,preclinical alzheimer
3223,speech analysis
3224,voice recognition
3225,smarthome
3226,disability
3227,internet of things (iot)
3228,environmental control
3229,speech disability
3230,natural language processing
3231,language resources
3232,syntactic analysis
3233,treebanks
3234,twitter
3235,parsing
3236,lexical resources
3237,framenet
3238,italian
3239,iframenet
3240,dementia
3241,mci
3242,mild cognitive impairment
3243,linguistic markers
3244,corpora
3245,dizionari
3246,atlanti
3247,parsing
3248,dependency treebank
3249,dependency rewriting
3250,parsing
3251,dependency treebank
3252,dependency rewriting tool
3254,natural language processing
3255,stochastic models
3256,quantum probability theory
3257,language models
3258,pos-tagging
3259,deep neural networks
3260,twitter
3261,treebank conversion
3262,dependency parsing
3263,conversion tools
3264,pathological language
3265,mild cognitive impairment
3266,linguistic features
3267,automatic classifiers
3269,pos-tagging
3270,italian
3271,deep neural networks
3272,assistive technology
3273,clinical applications of speech technology
3274,language and linguistics
3275,human-computer interaction
3276,signal processing
3277,software
3278,modeling and simulation
3279,induzione
3280,categorie grammaticali
3281,classi di parole
3282,corpus
3283,parti del discorso
3284,evaluation
3285,pos-tagging
3286,twitter
3287,sentiment analysis
3288,polarity
3289,distributional semantics
3290,document embedding
3291,paragraph vectors
3292,automatic detection
3293,evaluation
3294,prominence
3295,prosody
3296,language and linguistics
3297,linguistics and language
3298,lingua parlata
3299,variazione fonetica
3300,acquisizione di l2
3301,destrutturazione della forma sonora
3302,codifica neurale
3303,lingua dei segni
3304,linguaggio musicale
3305,linguaggio patologico
3306,trattamento automatico delle lingue naturali
3307,cognitive decline
3308,cognitive frailty
3309,older adults
3310,personalized diagnosis
3311,screening
3312,spontaneous speech analysis
3313,obstetrics and gynecology
3314,biochemistry
3315,genetics and molecular biology (all)
3316,cognitive decline
3317,cognitive frailty
3318,older adults
3319,personalized diagnosis
3320,screening
3321,spontaneous speech analysis
3322,obstetrics and gynecology
3323,biochemistry
3324,genetics and molecular biology (all)
3325,cognitive decline
3326,cognitive frailty
3327,older adults
3328,personalized diagnosis
3329,screening
3330,spontaneous speech analysis
3332,quantum probability theory
3333,machine learning
3334,emotion recognition
3335,kernel quantum classifier
3336,evaluation
3337,classico
3338,latino
3339,greco
3340,grammatica
3341,lingue classiche
3342,nahutal
3343,cinese
3344,prosody
3345,prominence
3346,probabilistic graphical models
3347,prominence annotation
3348,sentiment analysis
3349,evaluation
3350,morphological analyser
3351,derivation graph
3352,italian
3353,lemmatisation
3354,morphological analyser
3355,italian
3356,lexicon
3357,evaluation
3358,lemmatisation
3359,italian
3360,prosodia
3361,frequenza fondamentale f0
3362,valutazione algoritmi
3363,information structure
3364,prominence
3365,italian speech
3366,morphological analyser
3367,derivation graph
3368,italian language
3369,evaluation
3370,information structure
3371,prominence
3372,prosody
3373,prominence
3374,evaluation
3375,prosody
3376,lemmatisation
3377,italian
3378,morphological analyser
3379,lexicon
3380,evaluation
3381,lemmatisation
3382,italian
3383,information structure
3384,prosodic prominence
3385,speech corpora
3386,spoken italian
3387,corpus annotation
3388,derivational morphology
3389,derivation graph
3390,representation of affixes
3391,word formation rule
3392,sense induction
3393,corpora
3394,polysemy
3395,3d semantic graph
3396,computational linguistics
3397,corpus linguistics
3398,word formation
3399,paradigm
3400,database
3401,computational linguistics
3402,corpus linguistics
3403,word formation
3404,database
3405,paradigm
3406,compounding
3407,parts of speech
3408,adjective
3409,corpus evidence
3410,speech synthesis
3411,unit selection
3412,perceptual prominence
3413,prosody modeling
3414,metrical phonology
3415,text-to-speech syntesis
3416,prosody
3417,prominence
3418,corpora
3419,progettazione e costruzione di corpora
3420,corpora
3421,progettazione e costruzione di corpora
3422,corpus linguistics
3423,frame semantics
3424,register variation
3425,co-occurence graphs
3426,lexicography
3427,parsing
3428,categorial grammars
3429,polymorphic types
3430,mildly context sensitive languages
3431,parsing
3432,categorial grammars
3433,polymorphic types
3434,mildly context sensitive languages
3435,pos-tagging
3436,hmm tagger
3437,transformation-based tagger
3438,morphological analyser
3439,analisi fonetica
3440,prosodia
3441,prominenza
3442,corpora
3443,progettazione e costruzione di corpora
3444,corpora
3445,annotazione morfosintattica
3446,pos-tagging
3447,analizzatore morfologico
3448,natural language processing
3449,evaluation
3450,computational linguistics
3451,pos tagging
3452,tagset
3453,lexical classes
3454,linguistica computazionale
3455,syntactic parsing
3456,categorial grammars
3457,automatic grammar learning
3458,pos tagger
3459,stacked systems
3460,evaluation
3461,evaluation
3462,pos tagging
3463,prosody
3464,prominence
3465,german
3466,automatic speech processing
3467,prosody
3468,phrasal prominence
3469,acoustic parameters
3470,corpus linguistics
3471,multilingual analysis
3472,legal language
3473,parallel/comparable corpora
3474,semantics
3475,
3476,
3477,
3478,prosody
3479,automatic feature extraction
3480,prominence
3481,stress accent
3482,pitch accent
3483,
3484,prosodic typology
3485,prominence identification
3486,authoring
3487,web templates
3488,learning objects
3489,
3490,speech processing
3491,prosody
3492,prominence identification
3493,
3494,speech corpora annotation
3495,automatic prosodic annotation
3496,prosodic prominence
3497,language resources
3498,grid computing
3499,corpus annotation
3500,part-of-speech
3501,tagset induction
3502,language learning
3503,distance learning
3504,xml templates
3505,spoken language
3506,prominence detection
3507,speech processing
3508,spoken language
3509,prominence detection
3510,speech processing
3511,linguistic corpora
3512,corpus design
3513,dynamic corpus structure
3514,spoken language
3515,prominence detection
3516,speech processing
3517,language teaching
3518,self-access environments
3519,evaluation
3520,real time systems
3521,scheduling
3522,real-time systems
3523,scheduling
3524,neural networks
3525,digital humanities
3526,cultural heritage
3527,digital philology
3528,data visualization
3529,linked open data
3530,data visualization
3531,linked open data
3532,storytelling
3533,design thinking
3534,ontology design
3535,linked open data
3536,crowdsourcing
3537,data analysis
3538,cinema studies
3539,literary studies
3540,wikidata
3541,imdb
3542,data analysis
3543,cinema studies
3544,literary studies
3545,wikidata
3546,imdb
3547,music data
3548,data preservation
3549,catalogue
3550,linked open data
3551,library linked data
3552,semantic web
3553,crowdsourcing
3554,semantic web
3555,edizioni digitali
3556,rinascimento
3557,vespasiano da bisticci
3558,linked open data
3559,authoritativeness
3560,art history
3561,information retrieval
3562,art historians' personal archives
3563,art history
3564,hermeneutics
3565,photo archives
3566,semantic web
3567,linked open data
3568,art history
3569,archives
3570,authoritativeness
3571,information retrieval
3572,ontology
3573,authoritativeness
3574,art history
3575,semantic web
3576,ransomware
3577,detection
3578,mitigation
3579,restoration
3580,honeypot
3581,moving-target defence
3582,resource contention
3583,ranflood
3584,serverless
3585,scheduling
3586,topology-awareness
3588,microservices
3589,jolie
3590,semi-structured data
3591,ephemeral data
3592,edge computing
3593,fog
3594,computing
3595,formal methods
3596,service-oriented computing
3597,query languages
3598,e-health
3599,microservices
3600,software security
3601,software engineering
3602,threat models
3603,operations security
3604,microservices
3605,model-driven engineering
3606,domain models
3607,api generation
3608,microservices
3609,architecture-level scaling
3610,predictive scaling
3611,microservices
3612,programming languages
3613,model-driven engineering
3614,microservices deployment
3615,orchestration
3616,adaptation
3617,distributed programming
3618,choreography programming
3619,multitier programming
3620,virtualization
3621,benchmarking
3622,cloud deployment
3623,microservice architectures
3624,automated deployment
3625,formal methods
3626,microservices
3627,security
3628,systematic literature review
3629,serverless
3630,function-execution scheduling
3631,optimisation
3632,microservices
3633,programming languages
3634,logic
3635,process calculi
3636,service function chain
3637,sdn
3638,constraint programming
3639,optimisation
3640,ephemeral data handling
3641,in language query languages
3642,in memory data handling
3643,microservices
3644,platoon formation
3645,security threats
3646,insiders
3647,mitigations
3648,adaptation of distributed systems
3649,choreographic programming
3650,dynamic inclusion of new software components
3651,internet of things
3652,interoperability
3653,coap
3654,mqtt
3655,serverless
3656,formal model
3657,service oriented architectures
3658,microservices
3659,formal methods
3660,iot
3661,jolie
3662,high level language
3663,interoperability
3665,theoretical computer science
3666,computer science (all)
3667,choreographic programming
3668,integration
3669,cloud-of-things
3670,federated platforms
3671,insider threat
3672,internet-of-things
3673,mobility-as-a-service
3674,computer science (all)
3675,law
3676,computer science
3677,programming languages
3678,computer science
3679,logic in computer science
3680,insider threat
3681,maas
3682,security
3684,microservices
3685,service-oriented architectures
3686,software engineering
3687,automation & control systemscomputer science
3688,artificial intelligencecomputer science
3689,software engineering
3690,model checking
3691,paleografia
3692,professori alma mater
3693,manoscritti
3694,dante a bologna
3695,fonti per lo studio di dante
3696,memoriali bolognesi
3697,estimi bolognesi età di dante
3698,gianfranco orlandelli
3699,giovanni feo
3700,duecento
3701,chirurgia
3702,ippiatria
3703,teodorico borgognoni
3704,dicta testium
3705,testamento
3706,curia
3707,cervia
3708,bologna
3709,ordine predicatori
3710,medicina
3711,teodorico borgognoni
3712,storia della medicina
3713,rotolo documentario
3714,diplomatica
3715,duecento
3716,dicta testium
3717,borgognoni
3718,dicta testium
3719,storia della medicina
3720,duecento bolognese
3721,alto medioevo
3722,diplomatica
3723,paleografia latina
3724,archivistica
3725,lombardia
3726,cancelleria
3727,notai
3728,notariato
3729,rolandino passeggeri
3730,salatiele
3731,ars notariae
3732,formulari notarili
3733,processo medievale
3734,documento
3735,bologna
3736,duecento
3737,hoepli
3738,antiquariato librario
3740,ix secolo
3741,notariato
3742,milano
3743,paleografia latina
3744,diplomatica
3745,diplomi
3746,documenti privati
3747,forme
3748,formulari
3749,salatiele
3750,rolandino
3751,bologna
3752,notariato
3753,prassi giuridica
3754,xiii secolo
3755,cartulari
3756,regesti
3757,legislazione archivistica
3758,archivi ecclesiastici
3759,benedetto xiii
3760,s
3761,agostino
3762,de civitate dei
3763,palinsesto goto-latino
3764,paleografia latina
3765,filologia
3766,edizione di fonti
3767,vii secolo
3768,frammento di riuso
3769,semionciale
3770,reggio emilia
3771,firenze
3772,secolo ix
3773,documenti
3774,paleografia latina
3775,diplomatica
3776,edizione critica
3777,ravenna
3778,papiri
3779,litterae caelestes
3780,gesta municipalia
3781,legislazione tardoantica
3782,prassi documentaria
3783,documento
3784,arezzo
3785,ix secolo
3786,carlo il calvo
3787,legimus
3788,edizione critica
3789,paleografia latina
3790,diplomatica
3791,liber glossarum
3792,s
3793,agostino
3794,ix secolo
3795,frammenti reimpiegati in legature
3796,bologna-scuola cattedrale-irnerio
3797,xi secolo
3798,ravenna
3799,papiri
3800,gesta municipalia
3801,misteriosa scrittura grande
3802,legislazione tardoantica
3803,paleografia latina
3804,diplomatica
3805,s
3806,agostino
3807,semionciale
3808,bologna
3809,vi secolo
3810,de civitate dei
3811,frammenti di riuso
3812,paleografia
3813,latin papyri
3814,papyrology
3815,roman near east
3816,dura-europos
3817,palmyra
3818,roman army
3819,roman auxiliary cohort
3820,roman military bureaucracy
3821,latin papyri
3822,petition
3823,papyrus draft
3824,late roman egypt
3825,late latin epistolography
3826,latin papyri
3827,roman egypt
3828,caracalla
3829,constitutio antoniniana
3830,latin legal documents
3831,sophocles
3832,papyrology
3833,literary papyri
3834,greek tragedy
3835,fragments of greek theatre
3836,greek palaeography
3837,roman army
3838,roman egypt
3839,roman army studies
3840,latin papyri
3841,papyrology
3842,latin literature in egypt
3843,latin papyri
3844,recommendation letter
3845,late antique egypt
3846,new roman cursive
3847,latin epistolography
3848,ancient philosophy
3849,papirology
3850,socrates
3851,socratic dialogue
3852,minor socratics
3853,megaric school
3854,stilpon
3855,metrocles
3856,aristotle
3857,ethics
3858,literary criticism
3859,papyrology
3860,roman law
3861,ancient legal history
3862,ancient history
3863,documentary papyri
3864,latin legal documents
3866,ancient egyptian onomastics
3867,latin papyri
3868,greek and latin papyrology
3869,dura-europos
3870,dura papyri
3871,roman army
3872,auxiliary cohort
3873,latin papyri
3874,roman new cursive
3875,chancery
3876,late antique egypt
3877,latin papyri
3878,legio x fretensis
3879,business documents
3880,roman army
3881,latin papyri
3882,domitian
3883,laberius maximus
3884,prefecture of egypt
3885,latin palaeography
3886,latin hexameter
3887,latin literature on papyrus
3888,latin palaeography
3889,roman egypt
3890,roman citizenship
3891,roman trade
3892,latin papyri
3893,ancient philosophy
3894,papirology
3895,socrates
3896,socratic dialogue
3897,minor socratics
3898,megaric school
3899,stilpon
3900,metrocles
3901,aristotle
3902,ethics
3903,literary criticism
3904,latin papyri
3905,late antique egypt
3906,datatio ad latus
3907,latin palaeography
3908,latin papyri
3909,viennese papyri
3910,prozessverhandlung
3911,late antique egypt
3912,latin documentary papyri
3913,viennese papyri collection
3914,roman citizens in egypt
3915,greek literary papyri
3916,epicureanism
3917,ancient philosophy
3918,theory of breathing
3919,dura-europos
3920,latin papyri
3921,roman army
3922,small papyri fragments
3923,sophocles
3924,plutarch
3925,tragic quotations
3926,sophoclean fragments
3927,plutarchean quotations
3928,feriale duranum
3929,dura-europos
3930,aelius caesar
3931,roman religion
3932,latin papyri
3933,dura papyri
3934,dura-europos
3935,roman army
3936,roman names
3937,latin palaeography
3938,latin documentary papyri
3939,latin testament
3940,latin palaeography
3941,sophocles
3942,eurypylus
3943,sophoclean fragments
3944,tragic fragments
3945,tragic papyri
3946,ostrakon
3947,vandal africa
3948,vulgar latin
3949,marichal
3950,latin palaeography
3951,latin papyri
3952,latin chirographum
3953,business document
3954,roman egypt
3955,roman army
3956,sophocles
3957,eurypylus
3958,wormholes
3959,fragment
3960,papyrus
3961,servius
3962,scholia danielis
3963,eurypylus
3964,mysia
3965,telephus
3966,european cultural identity
3967,popular crime narrative
3968,data knowledge extraction
3969,multimedia data management
3970,web technologies
3971,data science
3972,data engineering
3973,data management
3974,multimedia computing
3975,multimedia storage
3976,multimedia applications
3977,abstractive document summarization
3978,event extraction
3979,semantic parsing
3980,biomedical text mining
3981,knowledge-driven natural language processing
3982,natural language understanding
3983,e-learning
3984,web services architecture
3985,data management
3986,data visualization
3987,named entity recognition
3988,data augmentation
3989,similarity learning
3990,few shot learning
3991,computer science
3992,informatics
3993,conference proceedings
3994,research
3995,applications
3996,video-based classification of cataplexy
3997,automatic video content analysis
3998,motor behavior patterns
3999,data analysis for health
4001,automatic video content analysis
4002,motor behavior patterns
4003,mobile multimedia technologies
4004,artiﬁcial intelligence for e-health
4005,artificial intelligence
4006,clustering algorithms
4007,computer networks
4008,computer science
4009,computer systems
4010,computer vision
4011,data mining
4012,databases education engineering
4013,image analysis
4014,image processing
4015,internet learning
4016,machine learning
4017,mathematics
4018,pattern recognition
4019,query languages
4020,search engines
4021,world wide web
4023,stream processing
4024,real-time analysis
4025,big data
4026,multimedia data streams
4027,stream processing
4028,real-time analysis
4029,big data
4030,computational genomics
4031,genome-wide pattern-search
4032,visual analytics
4033,genome browser
4034,artificial intelligence
4035,clustering algorithms
4036,data mining
4037,databases
4038,image processing
4039,information retrieval
4040,internet
4041,machine learning
4042,mathematics of computing
4043,pattern recognition
4044,search engines
4045,semantics
4046,similarity search
4047,topology
4048,world wide web
4049,e-learning
4050,web services architecture
4051,modeling and design
4052,collaborative learning
4053,distance education
4054,advanced data visualization
4055,information and data management
4057,e-learning platforms
4058,portals
4059,collaborative learning
4060,advanced data visualization
4061,data repository
4062,data management
4064,content-based image retrieval
4065,image classification
4066,content-based image retrieval
4067,multiple instance classification
4068,stream processing
4069,social networks
4070,big data
4071,massive multimedia streams
4072,streams processing
4073,face detection/recognition
4074,big data platforms
4075,automatic video analysis
4076,cataplexy
4077,laughter
4078,narcolepsy
4079,video recording
4080,medicine (all)
4081,privacy
4082,ethics in data governance
4083,multimedia data management
4084,similarity
4085,preferences
4086,agent-based simulation
4087,citizen participation
4088,crowdsensing
4089,decision support systems
4090,e-mobility
4091,environmental actions
4092,historic buildings
4093,information and communications
4094,integrated design approach
4095,intelligent transportation system
4096,mobile communications
4097,real-time data analysis
4098,smart city
4099,smart grid
4100,smart lighting
4101,smart navigation
4102,electrical and electronic engineering
4103,content-based image retrieval
4104,indexing
4105,salient point descriptors
4106,genomic computing
4107,genome browser
4108,similarity search
4109,data platform
4110,data stream processing
4111,massive data streams
4112,stream processing
4113,big data
4114,image query processing
4115,automatic video content analysis
4116,motor behaviour patterns
4117,mobile multimedia technologies
4118,genomic computing
4119,pattern-based query processing
4120,dynamic programming
4121,(epi)genomic regions
4122,genomic computing
4123,pattern-based query processing
4124,dynamic programming
4125,genomic computing
4126,pattern-based query processing
4127,dynamic programming
4129,dynamic programming
4130,genomic computing
4131,pattern-based query processing
4132,information systems
4133,computer science applications1707 computer vision and pattern recognition
4134,computational theory and mathematics
4135,cultural heritage
4136,multimedia databases
4137,recommender systems
4138,context awareness
4139,authorship attribution
4140,quantitative techniques
4141,similarity search
4142,montale’s diario postumo case study
4143,data integration
4144,traditional data
4145,multimedia data
4146,ranking queries
4147,multimedia digital libraries
4148,efficient
4149,effective
4150,and semantically rich data retrieval
4151,aggregation strategies
4152,top-k query
4153,shortest path distance
4154,efficiency
4155,similarity-based image retrieval
4156,low-level features
4157,k-nearest neighbor
4158,handwritten corpora
4159,forgery
4161,multimedia databases
4162,multimedia knowledge management
4163,context-aware recommendation
4164,cultural heritage
4165,skyline queries
4166,probabilistic database
4167,ranking semantics
4168,location-based advertising
4169,game theory
4170,nash equilibrium
4171,multimedia data
4172,cultural heritage
4173,context-aware recommendation
4174,content-based video annotation
4175,video segmentation
4176,hierarchical semantic video annotation
4177,visual features
4178,distributed skyline
4179,vertical partitioning
4180,query processing
4181,probabilistic relation
4182,query processing
4183,ranking semantics
4184,skyline
4185,image databases
4186,visual content
4187,semantics
4188,multimedia data
4189,hierarchical objects
4190,similarity
4191,efficient query processing
4192,banche dati multimediali
4193,indicizzazione
4194,semantica
4195,patrimonio culturale
4196,probabilistic relation
4197,skyline
4198,data correlation
4199,digital libraries
4200,semantic web
4201,performing arts
4202,poetry and music (1500-1700)
4203,skyline
4204,collaborative filtering
4205,index based algorithm
4206,probabilistic database
4207,probabilistic relations
4208,scoring functions
4209,skyline query
4210,uncertain data
4211,multimedia databases
4212,indexing
4213,efficient retrieval
4214,image annotation
4215,taxonomy of concepts
4216,visula features
4217,video retrieval
4218,visual descriptors
4219,semantic annotations
4220,image retrieval
4221,automatic semantic annotation
4222,metadata
4223,visula features
4224,image databases
4225,region-based image retrieval
4226,query processing
4227,k-nearest neighbors queries
4228,skyline queries
4229,video tagging
4230,shot boundary detection
4231,video tagging
4232,semantic concepts
4233,multi-structural databases
4234,classification dimensions
4235,facet trees
4236,tags
4237,image databases
4238,image query processing
4239,image similarity
4240,photo collections
4241,browsing
4242,faceted search
4243,pattern comparison
4244,pattern base management systems
4245,data models
4246,knowledge discovery
4247,content-based image queries
4248,efficient query processing
4249,skyline query
4250,monotone functions
4251,image annotation
4252,semantics
4253,image similarity
4254,multi-structural databases
4255,semantic dimensions
4256,visual features
4257,none
4258,multimedia data integration
4259,qualitative preferences
4260,strict partial orders
4261,skyline
4262,incremental evaluation
4263,
4264,
4265,image annotation
4266,link analysis
4267,
4268,image databases
4269,browsing
4270,personalization
4271,similarity criteria
4272,
4273,image similarity
4274,context
4275,relevance feedback
4276,
4277,
4278,
4279,shape matching
4280,dynamic time warping distance
4281,discrete fourier transform
4282,
4283,
4284,
4285,
4286,edit distance
4287,distance distribution
4288,string matching
4289,multimedia databases
4290,similarity queries
4291,relevance feedback
4292,wavelet transform
4293,content-based image retrieval
4294,image segmentation
4295,similarity search
4296,dante
4297,law &amp
4298,literature
4299,giustizia
4300,potere
4301,tempo
4302,fede
4303,dante
4304,diritto
4305,giustizia
4306,stato
4307,impero
4308,agenzia
4309,concorrenza sleale
4310,informazioni commerciali riservate
4311,segreti commerciali
4312,mercati secondari virtuali
4313,principio di esaurimento
4314,diritti di proprietà intellettuale
4315,concorrenza
4316,diritto d'autore
4317,diritto d'autore
4318,diritto della proprietà intellettuale
4319,principi giuridici
4320,intelligenza artificiale
4321,proprietà intellettuale
4322,tutela degli investimenti
4323,creatività
4324,prodotti creativi
4325,processi creativi
4326,diritto d'autore
4327,marchi
4328,brevetti
4329,ricerca scientifica
4330,libertà di ricerca
4331,incentivi economici alla ricerca
4332,protezione dei risultati della ricerca
4333,brevetti
4334,invenzioni biotecnologiche
4335,embrioni umani
4336,limiti alla brevettabilità
4337,parodia
4338,diritto d'autore
4339,eccezione
4340,proprietà intellettuale
4341,libertà di espressione
4342,streaming
4343,opere dell'ingegno
4344,distribuzione
4345,diritto d'autore
4346,responsabilità del provider
4347,diritto di comunicazione al pubblico
4348,diritto di messa a disposizione del pubblico
4349,diritto d'autore
4350,diritti patrimoniali
4351,proprietà intellettuale
4352,linking
4353,diritto delle nuove tecnologie
4354,ebook
4355,editori
4356,distribuzione su piattaforme digitali
4357,diritto d'autore
4358,internet
4359,antitrust
4360,contratto di edizione
4361,e-publishing
4362,brevetto
4363,invenzioni
4364,cellule staminali
4365,corte di giustizia ue
4366,copyright intellectual property digital lending rental and lending directive information society directive
4367,principio di esaurimento diritto di distribuzione diritto d'autore copyright pubblico nuovo esaurimento online
4368,diritti audiovisivi sportivi
4369,limitazione
4370,brevi estratti di cronaca
4371,principle of exhaustion
4372,first sale doctrine
4373,copyright
4374,industrial design
4375,concorrenza
4376,proprietà industriale
4377,certezza del diritto
4378,diritto d'autore
4379,bilanciamento degli interessi
4380,interesse pubblico
4381,eccezioni e limitazioni
4382,diritto d'autore
4383,prestito digitale
4384,diritto d'autore
4385,limiti ai diritti esclusivi
4386,appropriation art
4387,parodia
4388,diritto d'autore
4389,misure tecnologiche di protezione
4390,digital rights management
4391,autonomia privata
4392,diritto d'autore
4393,carattere creativo
4394,opera letteraria
4395,unita' minima proteggibile
4396,diritto d'autore
4397,diritti esclusivi
4398,digitalizzazione
4399,diritto d'autore
4400,ricerca
4401,didattica
4402,biblioteche
4403,arte concettuale
4404,forma espressiva
4405,arte informale
4406,diritto d'autore
4407,marchio
4408,corte di giustizia dell'unione europea
4409,keyword advertising
4410,uso del segno come parola chiave
4411,peer e social production
4412,commons e anticommons
4413,diritto d'autore
4414,ius excludendi
4415,interessi privati e interessi collettivi
4416,diritto d'autore
4417,lex informatica
4418,digital rights management
4419,misure tecnologiche di protezione
4420,copyright
4421,e-learning
4422,diritto d'autore
4423,information & communication technologies
4424,peer-to-peer
4425,digital rights management
4426,diritto d'autore
4427,private ordering
4428,creative commons
4429,misure tecnologiche di protezione
4430,antitrust
4431,diritto d'autore
4432,misure tecnologiche di protezione
4433,dmca
4434,direttiva 29/2001/ce
4435,diritto d'autore
4436,misure tecnologiche di protezione
4437,direttiva 29/2001/ce
4438,eccezioni e limitazioni
4439,codice dell'amministrazione digitale
4440,norma abrogate
4441,codice dell'amministrazione digitale
4442,responsabilità
4443,certificatore
4444,firma digitale
4445,diritto d'autore
4446,digital rights management
4447,contratto
4448,analisi economica del diritto
4449,brevetti
4450,invenzioni biotecnologiche
4451,novita'
4452,scoperta
4453,originalita'
4454,corte di giustizia ce
4455,marchio
4456,carattere distintivo
4457,corte di giustizia ce
4458,marchio
4459,indicazioni di origine geografica
4460,corte di giustizia ce
4461,marchi figurativi
4462,dati personali
4463,ricerca storica
4464,archiviazione
4465,pubblico interesse
4467,blockchain
4468,metaverse
4469,digital identity
4470,legal theory
4471,artificial intelligence
4472,legislation
4473,legal design
4474,legal language
4475,anonimizzazione
4476,pseudonimizzazione
4477,sentenze giudiziarie
4478,dati giudiziari
4479,dati personali
4480,gdpr
4481,hybrid ai
4482,akoma ntoso
4483,visualization
4484,hybrid ai
4485,akoma ntoso
4486,visualization
4487,implementation of european directive
4488,intelligenza artificiale
4489,digitalizzazione della giustizia
4490,giustizia algoritmica
4491,hybrid artificial intelligence
4492,giustizia
4493,intelligenza artificiale
4494,trasformazione digitale
4495,big data – artificial intelligence – explicability – explanations – knowability
4496,non-personal data
4497,anonymization
4498,pseudonymization
4499,intelligenza artificiale
4500,big data
4501,spiegabilità dell’intelligenza artificiale
4502,art
4503,22 del gdpr
4504,artificial intelligence and law
4505,semantic web
4506,legalxml
4507,web of linked data
4508,internet of things
4509,ethics
4510,human rights privacy
4511,rule of law
4512,digital citizenship mediation
4513,vulnerability
4514,discrimination
4515,artificial intelligence
4516,data governance
4518,big data
4519,ai
4520,discriminazione
4521,trasparenza
4522,spiegabilità
4523,akoma ntoso
4524,elegislation
4525,ejustice
4526,legal data analytics
4527,visualization
4528,argumentation schemes
4529,knowledge representation
4530,argument mining
4531,big data
4532,personal data
4533,explicability
4534,knowledge representation
4535,automated
4536,decision-making system
4538,legal design
4539,interpretation theory
4540,data protection
4541,gdpr
4542,argument mining
4543,tree kernel
4544,argumentative stance
4545,deontic logic
4546,legal informatics
4547,reification
4548,legal ontology
4550,gdpr
4552,oke
4554,refinement
4555,argumentation mining
4556,transfer learning
4557,argumentation schemes
4558,argumentation schemes
4559,uncertainty
4560,argumentation
4561,gdpr
4562,icons
4563,data protection
4564,legal design
4565,semantic web
4566,transparency
4567,legalxml
4568,akoma ntoso
4569,semantic web
4570,ontology
4571,big data
4572,gdpr
4573,pubblica amministrazione
4574,intelligenza artificiale
4575,automated decision-making
4576,big data
4577,data governance
4578,datafication
4579,digital identity
4580,argument mining
4581,tree kernels
4582,natural language understanding
4583,argument schemes
4584,data protection
4585,icons
4586,semantic technologies
4587,ontology
4588,transparency
4589,legal design
4590,argument mining
4591,tree kernels
4592,argument schemes
4593,communication design
4594,contract design
4595,design patterns
4596,information design
4597,legal design
4598,pattern language
4599,pattern library
4600,visualization
4601,transparency
4602,data protection law
4603,consumer protection law
4604,legal ontology
4605,gdpr
4606,oke
4607,refinement
4609,privacy icons
4610,privacy policies
4611,gdpr
4612,informed consent
4613,legal design
4614,legal visualization
4615,legal semantic web
4616,nlp  uri  legal xml  modifications  visualization
4617,network analysis
4618,big data
4619,data governance
4620,emerging issues
4621,food safety
4622,risk assessment
4623,theoretical computer science
4624,computer science (all)
4625,privacy
4626,legal design
4627,visualization
4628,legal xml
4629,legal semantic web
4630,interpretation
4631,interaction design
4632,human-centered design
4633,standard documentali xml
4634,meta-regola del diritto
4635,informatica giuridica
4636,informatica forense
4637,egoverment
4638,ai & law
4639,legal theory
4640,complex systems
4641,semantic web
4642,legal ontologies
4643,legal semantic web services
4644,argumentation
4645,open data
4646,psi directive
4647,licenze creative commons
4648,analisi comparata
4649,informatica giuridica
4650,communication design
4651,design patterns
4652,pattern library
4653,privacy communication
4654,privacy icons
4655,privacy videos
4656,visualization
4657,ai and law
4658,legal reasoning
4659,nlp for legal document
4660,ml for legal document
4661,legal ontology
4662,argumentation
4663,legal design
4664,blockchain
4665,semantic web
4666,legal reasoning
4667,legal ontology
4668,gdpr
4669,akoma ntoso
4670,gdpr rule modelling
4671,legal compliance checking
4672,legal ontology
4673,legalruleml
4674,semantic web
4675,legal reasoning
4676,legal ontology
4677,compliance checking
4678,semantic web
4679,legal reasoning
4680,legal ontology
4681,checking compliance
4682,cloud computing
4683,autonomic computing
4684,legislation compliance checking
4685,optimization
4686,quality of service
4687,monitoring
4688,service migration
4689,service portability
4690,transparency
4691,right to know
4692,public sector information
4693,e-government
4694,open government
4695,transparency
4696,openness
4697,right to know
4698,open data
4699,open government
4700,big data
4701,privacy
4702,privacy policies
4703,data protection
4704,visualization
4705,icons
4706,gdpr
4707,transparency
4708,informed consent
4709,usability
4710,legal design
4711,open government data mash-up
4712,licensing of open government data
4713,legal ontology
4714,natural language processing
4715,legal references
4716,case law databases
4718,linked open data
4719,court cases
4720,court decisions
4721,electronic publishing
4722,data protection
4723,open data
4724,european union
4725,big data
4726,e-government
4727,open data
4728,public sector information
4729,government data processing
4730,information systems
4732,e-governments
4733,government services
4734,key elements
4735,knowledge creations
4736,open datum
4737,public sector information
4738,social consequences
4739,social trend
4740,open data
4741,public sector information
4742,open government data
4743,linked open
4744,data
4745,transparency
4746,personal data
4747,licences
4748,charging
4749,business models
